(1, '19-08-23', 'Empoli', 'Verona', '0-1', 'Bologna', 1, 1)
(1, '19-08-23', 'Frosinone', 'Napoli', '1-3', 'Bologna', 1, 1)
(1, '19-08-23', 'Genoa', 'Fiorentina', '1-4', 'Bologna', 1, 1)
(1, '19-08-23', 'Inter', 'Monza', '2-0', 'Bologna', 1, 1)
(1, '20-08-23', 'Sassuolo', 'Atalanta', '0-2', 'Bologna', 1, 1)
(1, '20-08-23', 'Udinese', 'Juventus', '0-3', 'Bologna', 1, 1)
(1, '20-08-23', 'Lecce', 'Lazio', '2-1', 'Bologna', 1, 1)
(1, '20-08-23', 'Roma', 'Salernitana', '2-2', 'Bologna', 1, 1)
(1, '21-08-23', 'Bologna', 'Milan', '0-2', 'Milan', 1, 1)
(1, '21-08-23', 'Torino', 'Cagliari', '0-0', 'Milan', 1, 1)
(2, '26-08-23', 'Frosinone', 'Atalanta', '2-1', 'Milan', 1, 1)
(2, '26-08-23', 'Verona', 'Roma', '2-1', 'Milan', 1, 1)
(2, '26-08-23', 'Monza', 'Empoli', '2-0', 'Milan', 1, 1)
(2, '26-08-23', 'Milan', 'Torino', '4-1', 'Milan', 1, 1)
(2, '27-08-23', 'Lazio', 'Genoa', '0-1', 'Milan', 2, 1)
(2, '27-08-23', 'Juventus', 'Bologna', '1-1', 'Milan', 2, 1)
(2, '27-08-23', 'Fiorentina', 'Lecce', '2-2', 'Milan', 2, 1)
(2, '27-08-23', 'Napoli', 'Sassuolo', '2-0', 'Milan', 2, 1)
(2, '28-08-23', 'Cagliari', 'Inter', '0-2', 'Milan', 2, 1)
(2, '28-08-23', 'Salernitana', 'Udinese', '1-1', 'Milan', 2, 1)
(3, '01-09-23', 'Roma', 'Milan', '1-2', 'Milan', 2, 1)
(3, '01-09-23', 'Sassuolo', 'Verona', '3-1', 'Milan', 3, 1)
(3, '02-09-23', 'Udinese', 'Frosinone', '0-0', 'Milan', 3, 1)
(3, '02-09-23', 'Napoli', 'Lazio', '1-2', 'Milan', 3, 1)
(3, '02-09-23', 'Bologna', 'Cagliari', '2-1', 'Milan', 3, 1)
(3, '02-09-23', 'Atalanta', 'Monza', '3-0', 'Milan', 3, 1)
(3, '03-09-23', 'Empoli', 'Juventus', '0-2', 'Milan', 3, 1)
(3, '03-09-23', 'Torino', 'Genoa', '1-0', 'Milan', 3, 1)
(3, '03-09-23', 'Lecce', 'Salernitana', '2-0', 'Milan', 3, 1)
(3, '03-09-23', 'Inter', 'Fiorentina', '4-0', 'Milan', 3, 1)
(4, '16-09-23', 'Genoa', 'Napoli', '2-2', 'Milan', 3, 1)
(4, '16-09-23', 'Juventus', 'Lazio', '3-1', 'Milan', 3, 1)
(4, '16-09-23', 'Inter', 'Milan', '5-1', 'Inter', 1, 1)
(4, '17-09-23', 'Cagliari', 'Udinese', '0-0', 'Inter', 1, 1)
(4, '17-09-23', 'Monza', 'Lecce', '1-1', 'Inter', 1, 1)
(4, '17-09-23', 'Fiorentina', 'Atalanta', '3-2', 'Inter', 1, 1)
(4, '17-09-23', 'Frosinone', 'Sassuolo', '4-2', 'Inter', 1, 1)
(4, '17-09-23', 'Roma', 'Empoli', '7-0', 'Inter', 1, 1)
(4, '18-09-23', 'Verona', 'Bologna', '0-0', 'Inter', 1, 1)
(4, '18-09-23', 'Salernitana', 'Torino', '0-3', 'Inter', 1, 1)
(5, '22-09-23', 'Lecce', 'Genoa', '1-0', 'Inter', 1, 1)
(5, '22-09-23', 'Salernitana', 'Frosinone', '1-1', 'Inter', 1, 1)
(5, '23-09-23', 'Lazio', 'Monza', '1-1', 'Inter', 1, 1)
(5, '23-09-23', 'Milan', 'Verona', '1-0', 'Inter', 1, 1)
(5, '23-09-23', 'Sassuolo', 'Juventus', '4-2', 'Inter', 1, 1)
